符号或资源,定义,单位,来源或官方值
O01 / G01,调度中心 / 固定网关,—,节点及题面
"I, K, G",服务区、不可拆箱、运输机型集合,—,节点/箱单/机型表
"w_k, v_k",第 k 箱质量与体积,"kg, m³",物资需求表
"Q_g, V_g",机型额定载重与舱容,"kg, m³",运输机型表
"L_g^0, L_g^F",空载、满载标准航程,m,运输机型表
"E_g^use, rho_g",单组电池可用能量与返航 SOC 下限,"kWh, 0–1",运输机型表
"H_ij^cr, d_ij",巡航海拔与航段水平距离,"m, m",DEM/节点
A型关键参数,额定载重/舱容/空满载航程/电池可用能量,见值,"Q=25kg, V=0.06m³, L0=25000m, LF=20000m, Euse=4.5kWh"
B型关键参数,额定载重/舱容/空满载航程/电池可用能量,见值,"Q=30kg, V=0.073m³, L0=28000m, LF=16000m, Euse=4kWh"
C型关键参数,额定载重/舱容/空满载航程/电池可用能量,见值,"Q=80kg, V=0.25m³, L0=26000m, LF=12000m, Euse=8kWh"
A_UAV,官方库存,架/组,4
B_UAV,官方库存,架/组,2
C_UAV,官方库存,架/组,2
A_BATTERY,官方库存,架/组,6
B_BATTERY,官方库存,架/组,4
C_BATTERY,官方库存,架/组,4
RELAY_UAV,官方库存,架/组,2
RELAY_COMPONENT,官方库存,架/组,6
